timestamp,device_id,device_name,baseline_traffic,current_traffic,is_anomaly
2026-04-22T18:58:38.027032,internet_gw,Internet-Gateway,983.28,916.34,False
2026-04-22T18:58:38.120780,router_01,Edge-Router-01,516.4,496.89,False
2026-04-22T18:58:38.189232,core_sw_1,Core-Switch-1,536.5,1811.97,True
2026-04-22T18:58:38.201068,core_sw_2,Core-Switch-2,1191.61,2859.37,True
2026-04-22T18:58:38.207052,access_sw_c1_1,Access-Switch-C1-1,112.39,108.74,False
2026-04-22T18:58:38.212040,access_sw_c1_2,Access-Switch-C1-2,181.69,156.95,False
2026-04-22T18:58:38.217174,access_sw_c1_3,Access-Switch-C1-3,225.19,234.63,False
2026-04-22T18:58:38.221165,access_sw_c2_1,Access-Switch-C2-1,266.21,271.59,False
2026-04-22T18:58:38.224244,access_sw_c2_2,Access-Switch-C2-2,124.2,129.53,False
2026-04-22T18:58:38.228234,access_sw_c2_3,Access-Switch-C2-3,261.7,272.35,False
2026-04-22T18:58:38.236330,iot_access_sw_c1_1_1,Camera-1-1-1,149.5,138.31,False
2026-04-22T18:58:38.241318,iot_access_sw_c1_1_2,WaterLeak-1-1-2,39.21,41.3,False
2026-04-22T18:58:38.244473,iot_access_sw_c1_1_3,Thermostat-1-1-3,11.82,7.94,False
2026-04-22T18:58:38.250457,iot_access_sw_c1_1_4,Camera-1-1-4,87.13,74.86,False
2026-04-22T18:58:38.254539,iot_access_sw_c1_2_1,SmartPlug-1-2-1,30.59,21.96,False
2026-04-22T18:58:38.257532,iot_access_sw_c1_2_2,SmokeDetector-1-2-2,30.51,28.91,False
2026-04-22T18:58:38.261522,iot_access_sw_c1_3_1,LightBulb-1-3-1,45.69,53.33,False
2026-04-22T18:58:38.267506,iot_access_sw_c1_3_2,SmartPlug-1-3-2,37.73,34.64,False
2026-04-22T18:58:38.271494,iot_access_sw_c1_3_3,CO2Sensor-1-3-3,51.24,57.09,False
2026-04-22T18:58:38.275573,iot_access_sw_c1_3_4,Camera-1-3-4,126.34,137.61,False
2026-04-22T18:58:38.279562,iot_access_sw_c2_1_1,DoorLock-2-1-1,26.26,29.91,False
2026-04-22T18:58:38.284640,iot_access_sw_c2_1_2,CO2Sensor-2-1-2,45.3,153.21,True
2026-04-22T18:58:38.288629,iot_access_sw_c2_2_1,SmartPlug-2-2-1,57.48,59.16,False
2026-04-22T18:58:38.294699,iot_access_sw_c2_2_2,SmokeDetector-2-2-2,48.23,53.76,False
2026-04-22T18:58:38.300683,iot_access_sw_c2_3_1,DoorLock-2-3-1,13.28,15.19,False
2026-04-22T18:58:38.303781,iot_access_sw_c2_3_2,SmokeDetector-2-3-2,25.68,33.79,False
2026-04-22T18:58:38.307771,iot_access_sw_c2_3_3,LightBulb-2-3-3,49.21,269.09,True
2026-04-22T18:58:45.361795,internet_gw,Internet-Gateway,983.28,1152.47,False
2026-04-22T18:58:45.368868,router_01,Edge-Router-01,516.4,625.72,False
2026-04-22T18:58:45.373952,core_sw_1,Core-Switch-1,536.5,670.13,False
2026-04-22T18:58:45.377942,core_sw_2,Core-Switch-2,1191.61,343.4,True
2026-04-22T18:58:45.382927,access_sw_c1_1,Access-Switch-C1-1,112.39,128.86,False
2026-04-22T18:58:45.388006,access_sw_c1_2,Access-Switch-C1-2,181.69,140.49,False
